"num_sims","sample_size","scenario_num","signal_strength","cp_method","cp_penalty","cp_penalty_val","eval_method","eval_value_mean","eval_value_sd","eval_value_na","runtime","datetime"
10000,500,4,0.5,"PELT",NA,NA,"count",48.588,1.22809072168227,0,0.000577100000000064,2024-10-20 17:48:23
10000,1000,4,0.5,"PELT",NA,NA,"count",97.7737,1.6795149261137,0,0.000773599999999988,2024-10-20 17:48:32
10000,5000,4,0.5,"PELT",NA,NA,"count",495.2725,2.26105174321565,0,0.0024451,2024-10-20 17:49:00
10000,10000,4,0.5,"PELT",NA,NA,"count",993.6114,2.49768170137593,0,0.00499200000000001,2024-10-20 17:49:56
10000,500,5,0.5,"PELT",NA,NA,"count",18.9141,0.345156635906556,0,0.000391600000000017,2024-10-20 17:50:00
10000,1000,5,0.5,"PELT",NA,NA,"count",18.3643,1.16624247999814,0,0.00060029999999997,2024-10-20 17:50:07
10000,5000,5,0.5,"PELT",NA,NA,"count",-4e-04,0.0199969994748912,0,0.00194449999999997,2024-10-20 17:50:29
10000,10000,5,0.5,"PELT",NA,NA,"count",-1e-04,0.01,0,0.00345589999999993,2024-10-20 17:51:09
10000,500,2,1,"PELT",NA,NA,"count",-7e-04,0.0264495738717243,0,0.000439800000000014,2024-10-20 17:51:13
10000,1000,2,1,"PELT",NA,NA,"count",-1e-04,0.01,0,0.000539899999999943,2024-10-20 17:51:19
10000,500,3,1,"PELT",NA,NA,"count",248.9946,0.0772750745306297,0,0.000357399999999961,2024-10-20 17:51:23
10000,15000,2,0.25,"PELT",NA,NA,"count",0,0,0,0.00295199999999986,2024-10-20 19:49:34
10000,20000,2,0.25,"PELT",NA,NA,"count",0,0,0,0.00402329999999984,2024-10-20 19:50:26
10000,15000,3,0.25,"PELT",NA,NA,"count",7499,0,0,0.00235069999999996,2024-10-20 19:50:57
10000,20000,3,0.25,"PELT",NA,NA,"count",9999,0,0,0.00305069999999996,2024-10-20 19:51:39
10000,15000,4,0.25,"PELT",NA,NA,"count",1499.9869,0.145363348373326,0,0.00288189999999995,2024-10-20 19:52:16
10000,20000,4,0.25,"PELT",NA,NA,"count",1999.9971,0.0727469532827403,0,0.0036143,2024-10-20 19:53:03
10000,15000,5,0.25,"PELT",NA,NA,"count",0.0977,0.503368699866013,0,0.00624469999999983,2024-10-20 19:54:15
10000,20000,5,0.25,"PELT",NA,NA,"count",6e-04,0.0374136335845344,0,0.00779860000000008,2024-10-20 19:55:44
10000,15000,2,0.5,"PELT",NA,NA,"count",0,0,0,0.00380789999999997,2024-10-20 19:56:31
10000,20000,2,0.5,"PELT",NA,NA,"count",0,0,0,0.00472729999999992,2024-10-20 19:57:29
10000,15000,3,0.5,"PELT",NA,NA,"count",7499,0,0,0.00243410000000003,2024-10-20 19:58:01
10000,20000,3,0.5,"PELT",NA,NA,"count",9999,0,0,0.00303539999999994,2024-10-20 19:58:42
10000,15000,4,0.5,"PELT",NA,NA,"count",1495.1516,2.76354503457349,0,0.00638009999999995,2024-10-20 19:59:55
10000,20000,4,0.5,"PELT",NA,NA,"count",1993.7893,2.70736744714296,0,0.0096848,2024-10-20 20:01:43
10000,15000,5,0.5,"PELT",NA,NA,"count",0,0,0,0.0051241,2024-10-20 20:02:42
10000,20000,5,0.5,"PELT",NA,NA,"count",-2e-04,0.0141414284285499,0,0.00648829999999998,2024-10-20 20:03:58
10000,15000,2,1,"PELT",NA,NA,"count",0,0,0,0.00351929999999993,2024-10-20 20:04:41
10000,20000,2,1,"PELT",NA,NA,"count",0,0,0,0.00467049999999999,2024-10-20 20:05:38
10000,15000,3,1,"PELT",NA,NA,"count",7499,0,0,0.00228199999999997,2024-10-20 20:06:08
10000,20000,3,1,"PELT",NA,NA,"count",9998.9998,0.0141414284285499,0,0.0029469000000001,2024-10-20 20:06:48
10000,15000,4,1,"PELT",NA,NA,"count",1356.6221,6.70475853172184,0,0.00657129999999997,2024-10-20 20:08:02
10000,20000,4,1,"PELT",NA,NA,"count",1803.8034,7.86115310961574,0,0.00863329999999987,2024-10-20 20:09:38
10000,15000,5,1,"PELT",NA,NA,"count",-1e-04,0.01,0,0.00356880000000001,2024-10-20 20:10:22
10000,20000,5,1,"PELT",NA,NA,"count",-1e-04,0.01,0,0.00453140000000003,2024-10-20 20:11:18
